share_type,share,scenario,section,description
steel_main_share,1.0,s232_100pct,0.2,Steel main products effective incidence (100% - no exclusion use)
copper_main_share,1.0,s232_100pct,0.2,Copper main products effective incidence (100%)
alu_derivative_share,1.0,s232_100pct,0.2,Aluminum derivatives effective incidence (100% of S232 rate collected)
alu_main_share,1.0,s232_100pct,0.2,Aluminum main products effective incidence (100% - no exclusion use)
lumber_main_share,1.0,s232_100pct,0.2,Lumber main products effective incidence (100%)
lumber_cabinet_share,1.0,s232_100pct,0.2,Kitchen cabinets/vanities lumber share (100%)
mhdv_share_in_parts,1.0,s232_100pct,0.3,MHDV parts share destined for MHDV assembly
pv_share_in_parts,1.0,s232_100pct,0.3,PV parts share destined for PV/light truck assembly
usmca_compliance_default,0.90,s232_100pct,0.4,Default USMCA compliance for unmatched products (product-level rates in compliance_shares.csv)
korus_compliance_default,0.50,s232_100pct,0.4,Default KORUS compliance based on observed 2024 US imports
bra_civil_aircraft_share,.9,s232_100pct,0.5,Brazil aircraft for civil use share
jpn_civil_aircraft_share,.9,s232_100pct,0.5,Japan aircraft for civil use share
eu_civil_aircraft_share,.9,s232_100pct,0.5,EU aircraft for civil use share
uk_civil_aircraft_share,.9,s232_100pct,0.5,UK aircraft for civil use share
kor_civil_aircraft_share,.9,s232_100pct,0.5,Korea aircraft for civil use share
che_civil_aircraft_share,.9,s232_100pct,0.5,Switzerland/Liechtenstein aircraft for civil use share
bra_passenger_vehicle_share,.9,s232_100pct,0.5,Brazil auto parts for passenger vehicle share
uk_car_parts_uk_built_share,.75,s232_100pct,0.5,UK car parts in UK-built cars share
uk_steel_alu_quota_share,1.0,s232_100pct,0.5,UK steel/alu within quota share
che_nonpatented_pharma_share,.2,s232_100pct,0.5,Switzerland non-patented pharma share (exempt from IEEPA)
eu_nonpatented_pharma_share,.4,s232_100pct,0.5,EU non-patented pharma share (exempt from IEEPA)
arg_civil_aircraft_share,1.0,s232_100pct,0.5,Argentina aircraft for civil use share (full exemption per deal)
arg_nonpatented_pharma_share,1.0,s232_100pct,0.5,Argentina non-patented pharma share (full exemption per deal)
twn_civil_aircraft_share,1.0,s232_100pct,0.5,Chinese Taipei aircraft for civil use share (full exemption per deal)
twn_nonpatented_pharma_share,1.0,s232_100pct,0.5,Chinese Taipei non-patented pharma share (full exemption per deal)
slv_civil_aircraft_share,1.0,s232_100pct,0.5,El Salvador aircraft for civil use share (full exemption per deal)
slv_nonpatented_pharma_share,1.0,s232_100pct,0.5,El Salvador non-patented pharma share (full exemption per deal)
gtm_civil_aircraft_share,1.0,s232_100pct,0.5,Guatemala aircraft for civil use share (full exemption per deal)
gtm_nonpatented_pharma_share,1.0,s232_100pct,0.5,Guatemala non-patented pharma share (full exemption per deal)
bgd_civil_aircraft_share,1.0,baseline,0.5,Bangladesh aircraft for civil use share (full exemption per deal)
bgd_nonpatented_pharma_share,1.0,baseline,0.5,Bangladesh non-patented pharma share (full exemption per deal)
bgd_civil_aircraft_share,1.0,s232_100pct,0.5,Bangladesh aircraft for civil use share (full exemption per deal)
bgd_nonpatented_pharma_share,1.0,s232_100pct,0.5,Bangladesh non-patented pharma share (full exemption per deal)
